1.20802124e-2      3.76972358e+0
1.21085568e-2      5.34352036e+0
1.21085568e-2      4.38848568e+0
1.22992270e-2      7.29831675e+0
1.23420895e-2      1.02270982e+1
1.24252092e-2      1.43770795e+1
1.24390818e-2      9.87405655e+1
1.24851970e-2      7.39295974e+1
1.25417923e-2      2.17066172e+1
1.25417923e-2      1.78270451e+1
1.25417923e-2      1.21939547e+2
1.25783764e-2      5.82556469e+1
1.25908764e-2      2.65783243e+1
1.26401527e-2      3.24126702e+1
1.26896218e-2      4.78437537e+1
1.26896218e-2      3.93078672e+1
1.44563759e-2      5.75134169e+1
1.61878180e-2      4.78846586e+1
1.74158936e-2      4.03462563e+1
1.88480093e-2      3.35352382e+1
2.02158601e-2      2.63624502e+1
2.03322054e-2      2.12442590e+1
2.04056970e-2      1.64765951e+1
2.27982938e-2      2.03100516e+1
2.40797157e-2      1.68477027e+1
2.55526527e-2      1.33576216e+1
2.71944815e-2      1.04039107e+1
2.90453443e-2      8.27829138e+0
3.08581634e-2      6.40953587e+0
3.33003694e-2      4.98962662e+0
3.53097317e-2      3.94452998e+0
3.82737551e-2      3.10325202e+0
4.15118509e-2      2.54576549e+0
4.67769799e-2      2.32757347e+0
5.25923906e-2      2.66834640e+0
5.82141036e-2      3.21883607e+0
6.18877204e-2      4.10380668e+0
6.54281640e-2      5.04576162e+0
6.79377961e-2      6.13696496e+0
7.17236178e-2      7.60503989e+0
7.55017774e-2      9.78734167e+0
7.97091006e-2      1.26069420e+1
8.24145814e-2      1.54452454e+1
8.56973979e-2      1.87294955e+1
8.80728681e-2      2.28640052e+1
9.52485948e-2      2.92546353e+1
1.02298482e-1      2.47299825e+1
1.05513001e-1      2.06074020e+1
1.07021626e-1      1.60919982e+1
1.10682528e-1      1.34794056e+1
1.14597899e-1      1.04436333e+1
1.20075145e-1      8.28150235e+0
1.21586652e-1      6.54207632e+0
1.28070808e-1      4.94213988e+0
1.31030291e-1      3.80591769e+0
1.36140090e-1      3.19786089e+0
